LocationType,Location_Name,StNumber,StNumberFraction,StDirection,StName,StSuffix,StSuffixDirection,AddressType,AddressTypeValue,CrossStDirection,CrossStName,CrossStSuffix,CrossStSuffixDirection,City,State,Zip,Website,Phone,CouncilDistrict,X,Y
Parks,Glassell Park,3650,,,Verdugo,Rd,,,,,,,,"Los Angeles, CA 90065
(34.1167, -118.233)",CA,90065,http://www.laparks.org/dos/parks/facility/glassellPk.htm,(323) 257-1863,1,34.11673874,-118.2331726
Parks,Echo Park,1632,,,Bellevue,Ave,,,,,,,,"Los Angeles, CA 90026
(34.0701, -118.261)",CA,90026,http://www.laparks.org/dos/reccenter/facility/echoParkRC.htm,(213) 250-3578,13,34.07012683,-118.2608082
Parks,Fred Roberts Park,4700,,S,Honduras,St,,,,,,,,"Los Angeles, CA 90011
(34.0009, -118.244)",CA,90011,http://www.laparks.org/dos/reccenter/facility/fredRobertsRC.htm,(323) 234-8650,9,34.00087496,-118.2439885
Parks,San Pasqual Park,934,,N,San Pasqual,Ave,,,,,,,,"Los Angeles, CA 90042
(34.1198, -118.17)",CA,90042,http://www.laparks.org/dos/parks/facility/sanPascualPk.htm,(323) 255-0370,14,34.11981,-118.17014
Parks,Lilac Terrace Park,835,,,Academy,Rd,,,,,,,,"Los Angeles, CA 90012
(34.0802, -118.249)",CA,90012,http://www.laparks.org/dos/parks/facility/lilacTerracePk.htm,(213) 847-0926,1,34.080151,-118.249395
Parks,Wabash Park,2765,,,Wabash,Ave,,,,,,,,"Los Angeles, CA 90033
(34.0507, -118.198)",CA,90033,http://www.laparks.org/dos/reccenter/facility/wabashRC.htm,(213) 262-6534,14,34.05070789,-118.1981928
Parks,Griffith Park - Pony & Train Rides,3300,,N,Riverside,Dr,,,,,,,,"Los Angeles, CA 90027
(34.1177, -118.272)",CA,90027,http://www.laparks.org/dos/parks/griffithPK/ponyrides.htm,(323) 664-3266,4,34.117654,-118.27198
Parks,Sullivan Canyon Park,,,,Santa Monica Mountains,,,,,,,,,"Los Angeles, CA 90049
(34.0737, -118.509)",CA,90049,http://www.laparks.org/dos/parks/facility/sullivanCynPk.htm,(310) 840-2187,11,34.073715,-118.509023
Parks,Victory - Vineland Park,11117,,,Victory,Blvd,,,,,,,,"Los Angeles, CA 91606
(34.1869, -118.373)",CA,91606,http://www.laparks.org/dos/parks/facility/victoryVinelandPk.htm,(818) 985-9516,2,34.186926,-118.3727
Parks,Pan Pacific Park,7600,,,Beverly,Blvd,,,,,,,,"Los Angeles, CA 90036
(34.0749, -118.355)",CA,90036,http://www.laparks.org/dos/parks/facility/panPacificPk.htm,(323) 939-8874,4,34.07487935,-118.3549473
Parks,76th Street Pocket Park,833,,W,76th,St,,,,,,,,"Los Angeles, CA 90044
(33.971, -118.288)",CA,90044,,(310) 548-7675,8,33.971023,-118.288267
Parks,El Sereno Arroyo Playground,5520,,,Concord,Ave,,,,,,,,"Los Angeles, CA 90032
(34.0798, -118.162)",CA,90032,,(323) 223-2764,14,34.07980496,-118.1618492
Parks,Bellaire Avenue Park,7960,,N,Bellaire,Ave,,,,,,,,"Los Angeles, CA 91605
(34.2156, -118.413)",CA,91605,,(818) 506-7456,2,34.21561,-118.412666
Parks,Evergreen Park,2844,,E,2nd,St,,,,,,,,"Los Angeles, CA 90033
(34.0391, -118.205)",CA,90033,http://www.laparks.org/dos/reccenter/facility/evergreenRC.htm,(323) 262-0397,14,34.03913003,-118.2045264
Parks,Westwood Park,1350,,S,Sepulveda,Blvd,,,,,,,,"Los Angeles, CA 90025
(34.0533, -118.448)",CA,90025,http://www.laparks.org/dos/reccenter/facility/westwoodRC.htm,(310) 473-3610,5,34.053257,-118.448297
Parks,Pan Pacific Park - Renee's Place,7600,,,Beverly,Blvd,,,,,,,,"Los Angeles, CA 90036
(34.0749, -118.355)",CA,90036,http://www.laparks.org/dos/playground/facility/panPacificUAPPk.htm,(323) 939-8874,4,34.07487935,-118.3549473
Parks,De Neve Square Park,314,,,Beverly Glen,,,,,,,,,"Los Angeles, CA 90077
(34.0842, -118.435)",CA,90077,http://www.laparks.org/dos/parks/facility/deNeveSquPk.htm,(310) 840-2186,5,34.08425,-118.43496
Parks,Mandeville Canyon Park,,,,Mandeville Fire,,,,,,Westridge,,,"Los Angeles, CA 90049
(34.0855, -118.509)",CA,90049,http://www.laparks.org/dos/parks/facility/mandevilleCanyonPk.htm,(310) 589-3200,11,34.085468,-118.509006
Parks,East Los Angeles Park,3160,,E,Minnesota,St,,,,,,,,"Los Angeles, CA 90031
(34.0771, -118.207)",CA,90031,http://www.laparks.org/dos/parks/facility/eastLAPk.htm,(323) 225-3329,1,34.07714,-118.20731
Parks,Bellevue Park,826,,,Lucille,Ave,,,,,,,,"Los Angeles, CA 90026
(34.084, -118.283)",CA,90026,http://www.laparks.org/dos/reccenter/facility/bellevueRC.htm,(323) 664-2468,13,34.084016,-118.283446
Parks,Glenhurst Park,2932,,,Glenhurst,Ave,,,,,,,,"Los Angeles, CA 90039
(34.1102, -118.253)",CA,90039,http://www.laparks.org/dos/parks/facility/glenhurstPk.htm,(213) 847-0926,13,34.110233,-118.252805
Parks,Robert F. Kennedy Inspiration Park,3400,,W,Wilshire,Blvd,,,,,,,,"Los Angeles, CA 90010
(34.0617, -118.298)",CA,90010,,(213) 485-5572,10,34.06173,-118.297572
Parks,Reynier Park,2803,,S,Reynier,Ave,,,,,,,,"Los Angeles, CA 90035
(34.0356, -118.386)",CA,90035,http://www.laparks.org/dos/parks/facility/reynierPk.htm,(310) 836-1040,10,34.03563676,-118.3861321
Parks,Lincoln Park,3501,,,Valley,Blvd,,,,,,,,"Los Angeles, CA 90031
(34.0656, -118.202)",CA,90031,http://www.laparks.org/dos/parks/facility/lincolnPk.htm,(213) 847-1726,1,34.06561417,-118.2018369
Parks,Barrington Park,333,,S,Barrington,Ave,,,,,,,,"Los Angeles, CA 90049
(34.0614, -118.469)",CA,90049,http://www.laparks.org/dos/reccenter/facility/barringtonRC.htm,(310) 476-4866,11,34.06137723,-118.4686951
Parks,Seoul International Park,3250,,,San Marino,St,,,,,,,,"Los Angeles, CA 90006
(34.0544, -118.302)",CA,90006,http://www.laparks.org/dos/parks/facility/seoulInterPk.htm,(213) 383-7549,10,34.05435479,-118.3016258
Parks,Sunnynook River Park,3201,,,Riverside,Dr,,,,,,,,"Los Angeles, CA 90027
(34.1134, -118.268)",CA,90027,,,4,34.113439,-118.268482
Parks,Ramon D. Garcia Park,1016,,S,Fresno,St,,,,,,,,"Los Angeles, CA 90023
(34.0276, -118.206)",CA,90023,http://www.laparks.org/dos/reccenter/facility/ramonGarciaRC.htm,(323) 265-4755,14,34.027589,-118.206397
Parks,Yucca Park,6671,,,Yucca,St,,,,,,,,"Los Angeles, CA 90028
(34.1033, -118.336)",CA,90028,http://www.laparks.org/dos/parks/facility/yuccaPk.htm,(323) 957-6339,13,34.10331572,-118.3355345
Parks,Crestwood Hills Park,1000,,,Hanley,Ave,,,,,,,,"Los Angeles, CA 90049
(34.0766, -118.489)",CA,90049,http://www.laparks.org/dos/reccenter/facility/crestwoodHillsRC.htm,(310) 472-5233,11,34.07661042,-118.4889191
Parks,Holmby Park,601,,,Club View,Dr,,,,,,,,"Los Angeles, CA 90024
(34.0729, -118.429)",CA,90024,http://www.golf.lacity.org/cdp_holmby.htm,(310) 276-1604,5,34.07294331,-118.4293956
Parks,Griffith Park - Bronson Canyon,3200,,,Canyon,Dr,,,,,,,,"Los Angeles, CA 90068
(34.1272, -118.311)",CA,90068,http://www.laparks.org/dos/parks/facility/bronsonCanyonGP.htm,(323) 913-4688,4,34.127171,-118.31077
Parks,Hazard Park,2230,,,Norfolk,St,,,,,,,,"Los Angeles, CA 90033
(34.0607, -118.201)",CA,90033,http://www.laparks.org/dos/parks/facility/hazardPk.htm,(213) 485-6839,14,34.06067723,-118.2008547
Parks,Greayer's Oak Mini Park,3711,,N,Figueroa,St,,,,,,,,"Los Angeles, CA 90065
(34.0902, -118.212)",CA,90065,http://www.laparks.org/dos/parks/facility/graeyorsOakPk.htm,(323) 255-0370,1,34.09023935,-118.2124151
Parks,Briarwood Park,461,,,Almaden,Ct,,,,,,,,"Los Angeles, CA 90077
(34.119, -118.444)",CA,90077,http://www.laparks.org/dos/parks/facility/briarwoodPk.htm,(310) 840-2186,5,34.119035,-118.443947
Parks,Media Park,,,,Culver,Blvd,,,,,Venice,Blvd,,"Los Angeles, CA 90232
(34.0265, -118.393)",CA,90232,http://www.laparks.org/dos/parks/facility/mediaPk.htm,(310) 836-1040,5,34.02647,-118.39306
Parks,De Longpre Park,1350,,N,Cherokee,Ave,,,,,,,,"Los Angeles, CA 90028
(34.0959, -118.335)",CA,90028,http://www.laparks.org/dos/parks/facility/deLongprePk.htm,(213) 847-3599,4,34.095934,-118.334692
Parks,Vista Hermosa Park,100,,N,Toluca,St,,,,,,,,"Los Angeles, CA 90026
(34.062, -118.258)",CA,90026,http://www.laparks.org/dos/parks/facility/vistaHermosaPk.htm,(213) 250-3578,1,34.06195635,-118.2582994
Parks,Jim Gilliam Park,4000,,S,La Brea,Ave,,,,,,,,"Los Angeles, CA 90008
(34.0119, -118.352)",CA,90008,http://www.laparks.org/dos/reccenter/facility/jimGilliamRC.htm,(323) 291-5928,10,34.011922,-118.351674
Parks,Chevy Chase Park,4165,,,Chevy Chase,Dr,,,,,,,,"Los Angeles, CA 90039
(34.1335, -118.267)",CA,90039,http://www.laparks.org/dos/parks/facility/chevyChasePk.htm,(213) 485-4867,13,34.133531,-118.2667127
Parks,Elysian Park - Montecillo De Leo Politi,,,,Stadium,Way,,,,,Academy,Rd,,"Los Angeles, CA 90012
(34.0784, -118.247)",CA,90012,http://www.laparks.org/dos/parks/facility/montecilloDeLeoPolitiPk.htm,(213) 485-5054,13,34.078382,-118.246633
Parks,Eagle Rock Park,1100,,,Eagle Vista,Dr,,,,,,,,"Los Angeles, CA 90041
(34.143, -118.188)",CA,90041,http://www.laparks.org/dos/reccenter/facility/eagleRockRC.htm,(323) 257-6948,14,34.142988,-118.18805
Parks,Yosemite Park,1840,,,Yosemite,Dr,,,,,,,,"Los Angeles, CA 90041
(34.1337, -118.208)",CA,90041,http://www.laparks.org/dos/reccenter/facility/yosemiteRC.htm,(323) 257-1644,14,34.133742,-118.20819
Parks,Chesterfield Square Park,1950,,W,54th,St,,,,,,,,"Los Angeles, CA 90062
(33.9931, -118.313)",CA,90062,http://www.laparks.org/dos/parks/facility/chesterfieldSquPk.htm,(323) 233-4772,8,33.99308909,-118.3129281
Parks,111th Place Pocket Park,207,,E,111th,Pl,,,,,,,,"Los Angeles, CA 90061
(33.9342, -118.271)",CA,90061,,(310) 548-7675,8,33.934202,-118.271246
Parks,Circle / Gramercy Park,1975,,W,76th,St,,,,,,,,"Los Angeles, CA 90047
(33.971, -118.313)",CA,90047,http://www.laparks.org/dos/parks/facility/circlePk.htm,(310) 548-7675,8,33.970976,-118.313323
Parks,Rancho Cienega Park,5001,,,Rodeo,Rd,,,,,,,,"Los Angeles, CA 90016
(34.0217, -118.352)",CA,90016,http://www.laparks.org/dos/reccenter/facility/ranchocienegaRC.htm,(323) 290-2330,10,34.02167021,-118.351823
Parks,Denker and Torrance Pocket Park,1490,,W,Torrance,Blvd,,,,,,,,"Los Angeles, CA 90501
(33.8416, -118.304)",CA,90501,,(310) 548-7675,15,33.84162,-118.303546
Parks,Hope and Peace Park,843,,S,Bonnie Brae,St,,,,,,,,"Los Angeles, CA 90057
(34.0528, -118.276)",CA,90057,http://www.laparks.org/dos/parks/facility/hopePeacePocketPk.htm,(213) 747-1872,1,34.05276205,-118.2764751
Parks,Queen Anne Park,1240,,,West,Blvd,,,,,,,,"Los Angeles, CA 90016
(34.0507, -118.333)",CA,90016,http://www.laparks.org/dos/reccenter/facility/queenAnneRC.htm,(323) 857-1180,10,34.0507319,-118.33286
Parks,Griffith Park Visitor Center Auditorium,4730,,,Crystal Springs,Dr,,,,,,,,"Los Angeles, CA 90027
(34.1325, -118.28)",CA,90027,http://www.laparks.org/dos/ranger/auditorium.htm,(323) 665-1154,4,34.132522,-118.280284
Parks,Jackie Tatum / Harvard Park,1535,,W,62nd,St,,,,,,,,"Los Angeles, CA 90047
(33.9833, -118.304)",CA,90047,http://www.laparks.org/dos/reccenter/facility/jackieTatumRC.htm,(323) 778-2579,8,33.98334823,-118.303593
Parks,South Victoria Ave Park,6537,,S,Victoria,Ave,,,,,,,,"Los Angeles, CA 90043
(33.9794, -118.332)",CA,90043,,(310) 548-7675,8,33.979427,-118.332474
Parks,William Nickerson Gardens Park,11251,,,Compton,Ave,,,,,,,,"Los Angeles, CA 90059
(33.9322, -118.247)",CA,90059,http://www.laparks.org/dos/reccenter/facility/williamNickersonRC.htm,(323) 566-1416,15,33.932182,-118.246727
Parks,Benny H. Potter West Adams Avenues Memorial Park,2413,,,2nd,Ave,,,,,,,,"Los Angeles, CA 90018
(34.035, -118.319)",CA,90018,http://www.laparks.org/dos/parks/facility/bennyHPotterPk.htm,(323) 373-9483,10,34.035039,-118.318677
Parks,Irving Schachter Park,2599,,,Beverwil,Dr,,,,,Beverlywood,,,"Los Angeles, CA 90064
(34.04, -118.399)",CA,90064,http://www.laparks.org/dos/parks/facility/irvingSchachterPk.htm,(310) 840-2186,5,34.040044,-118.398926
Parks,Greayer's Oak Park,3711,,N,Figueroa,St,,,,,,,,"Los Angeles, CA 90065
(34.0906, -118.212)",CA,90065,,(310) 548-7675,1,34.09059,-118.212182
Parks,Griffith Park - Old Zoo Picnic Area,,,,Griffith Park,Dr,,,,,Crystal Springs,Dr,,"Los Angeles, CA 90027
(34.1355, -118.286)",CA,90027,http://www.laparks.org/dos/parks/facility/griffithPk.htm,(323) 644-2050,4,34.135456,-118.286337
Parks,Hollywood Park,1122,,,Cole,Ave,,,,,,,,"Los Angeles, CA 90038
(34.0913, -118.33)",CA,90038,http://www.laparks.org/dos/reccenter/facility/hollywoodRC.htm,(323) 467-6847,13,34.09132457,-118.3297572
Parks,Watts Cultural Crescent,1780,,E,Santa Ana,Blvd,,,,,,,,"Los Angeles, CA 90059
(33.94, -118.242)",CA,90059,,(310) 548-7675,15,33.940048,-118.242452
Parks,4600 Orchard Ave Pocket Park,4600,,,Orchard,Ave,,,,,,,,"Los Angeles, CA 90037
(34.0016, -118.289)",CA,90037,,(310) 548-7675,9,34.001558,-118.288625
Parks,Westside Neighborhood Park,3085,,,Clyde,Ave,,,,,,,,"Los Angeles, CA 90016
(34.0291, -118.37)",CA,90016,http://www.laparks.org/dos/parks/facility/westsideNeighborhoodPk.htm,(323) 292-6622,10,34.029093,-118.36998
Parks,Grigsby Pocket Park,1816,,E,115th,St,,,,,,,,"Los Angeles, CA 90059
(33.9302, -118.24)",CA,90059,,(310) 548-7675,15,33.930249,-118.240227
Parks,Cypress Park Library,3320,,E,Pepper,Ave,,,,,,,,"Los Angeles, CA 90065
(34.091, -118.223)",CA,90065,,(310) 548-7675,1,34.091029,-118.22264
Parks,Westwood Gardens Park,1246,,S,Glendon,Ave,,,,,,,,"Los Angeles, CA 90024
(34.0575, -118.442)",CA,90024,,(310) 836-1040,5,34.057518,-118.441597
Parks,97th Street Pocket Park,554,,W,97th,St,,,,,,,,"Los Angeles, CA 90010
(33.948, -118.285)",CA,90010,,(310) 548-7675,8,33.948036,-118.2847
Parks,Lake Street Park,227,,N,Lake,St,,,,,,,,"Los Angeles, CA 90057
(34.0687, -118.27)",CA,90057,http://www.laparks.org/dos/parks/facility/lakeStPk.htm,(213) 207-2196,13,34.06874703,-118.270384
Parks,6th & Gladys Street Park,624,,E,6th,St,,,,,Gladys,St,,"Los Angeles, CA 90021
(34.0403, -118.242)",CA,90021,http://www.laparks.org/dos/parks/facility/6thgladysPk.htm,(818) 756-8189,14,34.04032,-118.242479
Parks,Lanark/Shelby Mini-Park,,,,Lanark,St,,,,,Shelby,St,,"Los Angeles, CA 90041
(34.1353, -118.188)",CA,90041,http://www.laparks.org/dos/parks/facility/lanarkShelbyPk.htm,(323) 255-0370,14,34.135325,-118.187511
Parks,Mount Carmel Park,830,,W,70th,St,,,,,,,,"Los Angeles, CA 90044
(33.9762, -118.288)",CA,90044,http://www.laparks.org/dos/parks/facility/mountCarmelPk.htm,(323) 789-2756,8,33.97624967,-118.2884111
Parks,Palms Park,2950,,,Overland,Ave,,,,,,,,"Los Angeles, CA 90064
(34.0329, -118.418)",CA,90064,http://www.laparks.org/dos/reccenter/facility/palmsRC.htm,(310) 838-3838,5,34.03286932,-118.4177271
Parks,Denker Park,1550,,W,35th,Pl,,,,,,,,"Los Angeles, CA 90018
(34.0236, -118.305)",CA,90018,http://www.laparks.org/dos/reccenter/facility/denkerRC.htm,(323) 733-8367,8,34.02355276,-118.3045149
Parks,Unidad Park,1648,,W,Beverly,Blvd,,,,,,,,"Los Angeles, CA 90026
(34.064, -118.265)",CA,90026,,(310) 548-7675,13,34.063995,-118.264551
Parks,Westwood Park - Aidan's Place,1350,,S,Sepulveda,Blvd,,,,,,,,"Los Angeles, CA 90025
(34.0527, -118.448)",CA,90025,http://www.laparks.org/dos/playground/facility/westwoodUAPRC.htm,(310) 473-3610,5,34.052676,-118.448107
Parks,Fox & Laurel Park,14353,,,Fox,St,,,,,,,,"Los Angeles, CA 91340
(34.2716, -118.446)",CA,91340,,,7,34.271638,-118.446271
Parks,Club Circle Park,2890,,,Club,Dr,,,,,,,,"Los Angeles, CA 90043
(34.0389, -118.402)",CA,90043,,(310) 836-1040,5,34.038907,-118.402029
Parks,Griffith Park - Ceta Forest,5201,,,Zoo,Dr,,,,,,,,"Los Angeles, CA 90027
(34.1551, -118.301)",CA,90027,http://www.laparks.org/dos/parks/facility/cetaForestPk.htm,(323) 913-4688,4,34.155128,-118.30145
Parks,Genesee Avenue Park,2330,,S,Genesee,Ave,,,,,,,,"Los Angeles, CA 90016
(34.0369, -118.369)",CA,90016,http://www.laparks.org/dos/parks/facility/geneseeAvePk.htm,(310) 840-2186,10,34.03688,-118.36858
Parks,Sycamore Grove Park,4702,,N,Figueroa,St,,,,,,,,"Los Angeles, CA 90042
(34.1019, -118.203)",CA,90042,http://www.laparks.org/dos/parks/facility/sycamorePk.htm,(323) 255-0370,1,34.1019,-118.202996
Parks,Harold A. Henry Park,890,,S,Lucerne,Ave,,,,,,,,"Los Angeles, CA 90016
(34.0576, -118.325)",CA,90016,http://www.laparks.org/dos/parks/facility/haroldAHenryPk.htm,(213) 485-5054,4,34.057644,-118.32489
Parks,Pico Union Park,1827,,S,Hoover,St,,,,,,,,"Los Angeles, CA 90006
(34.0411, -118.284)",CA,90006,http://www.laparks.org/dos/parks/facility/picoUnionVestPk.htm,(213) 485-5054,1,34.04106831,-118.2842068
Parks,El Paseo De Cahuenga Park,3300,,,Cahuenga,Blvd,,,,,,,,"Los Angeles, CA 90068
(34.1306, -118.35)",CA,90068,http://www.laparks.org/dos/parks/facility/elPaseoDeCahuengaPk.htm,(818) 763-7651,4,34.13059,-118.349673
Parks,Griffith Park Crystal Springs,4730,,,Crystal Springs,Dr,,,,,,,,"Los Angeles, CA 90027
(34.133, -118.281)",CA,90027,http://www.laparks.org/dos/parks/facility/crystalSpringsPk.htm,(323) 644-2050,4,34.133005,-118.280751
Parks,Gage and Avalon Pocket Park,6301,,S,Avalon,Blvd,,,,,,,,"Los Angeles, CA 90003
(33.9822, -118.265)",CA,90003,,,9,33.982212,-118.265352
Parks,Cheviot Hills Park,2551,,,Motor,Ave,,,,,,,,"Los Angeles, CA 90064
(34.0469, -118.408)",CA,90064,http://www.laparks.org/dos/parks/facility/cheviotHillsPk.htm,(310) 837-5186,5,34.046898,-118.408263
Parks,Little Green Acres Park,,,,104th,St,,,,,Vermont,Ave,,"Los Angeles, CA 90044
(33.9416, -118.291)",CA,90044,http://www.laparks.org/dos/parks/facility/littleGreenAcresPk.htm,(213) 485-1748,8,33.94164,-118.2914
Parks,Selma Park,6567,,,Selma,Ave,,,,,,,,"Los Angeles, CA 90028
(34.0999, -118.333)",CA,90028,http://www.laparks.org/dos/parks/facility/selmaPk.htm,(213) 847-3599,13,34.09985676,-118.3331657
Parks,Augustus F. Hawkins Natural Park,5790,,,Compton,Ave,,,,,,,,"Los Angeles, CA 90011
(33.9903, -118.248)",CA,90011,http://www.laparks.org/dos/reccenter/facility/augustusHawkinsNatureCtr.htm,(323) 581-4498,9,33.990292,-118.247712
Parks,Trinity Park,517,,E,25th,St,,,,,,,,"Los Angeles, CA 90011
(34.0239, -118.263)",CA,90011,http://www.laparks.org/dos/reccenter/facility/trinityRC.htm,(213) 485-4195,9,34.02385032,-118.2634554
Parks,Leimert Plaza Park,4395,,,Leimert,Blvd,,,,,,,,"Los Angeles, CA 90008
(34.0039, -118.331)",CA,90008,http://www.laparks.org/dos/parks/facility/leimertPlazaPk.htm,(323) 291-5928,10,34.003937,-118.330564
Parks,Woodbine Park,3409,,,Vinton,Ave,,,,,,,,"Los Angeles, CA 90034
(34.028, -118.408)",CA,90034,http://www.laparks.org/dos/parks/facility/woodbinePk.htm,(310) 836-1040,5,34.02800986,-118.4084365
Parks,Loren Miller Park,2717,,,Halldale,Ave,,,,,,,,"Los Angeles, CA 90018
(34.0303, -118.303)",CA,90018,http://www.laparks.org/dos/reccenter/facility/lorenMillerRC.htm,(323) 734-1302,8,34.03026082,-118.3030305
Parks,Ernest E. Debs Regional Park,4235,,,Monterey,Rd,,,,,,,,"Los Angeles, CA 90032
(34.0954, -118.19)",CA,90032,http://www.laparks.org/dos/parks/facility/debsEERegionalPk.htm,(213) 485-5054,1,34.095367,-118.190495
Parks,Poinsettia Park,7341,,,Willoughy,Ave,,,,,,,,"Los Angeles, CA 90046
(34.0872, -118.35)",CA,90046,http://www.laparks.org/dos/reccenter/facility/poinsettiaRC.htm,(323) 876-5014,5,34.08722019,-118.3502662
Parks,Cleland Avenue Bicentennial Park,4800,,,Cleland,Ave,,,,,,,,"Los Angeles, CA 90042
(34.1133, -118.213)",CA,90042,http://www.laparks.org/dos/parks/facility/clelandAvePk.htm,(323) 255-0370,1,34.11331,-118.212598
Parks,El Sereno Park,4721,,,Klamath,St,,,,,,,,"Los Angeles, CA 90032
(34.0757, -118.182)",CA,90032,http://www.laparks.org/dos/reccenter/facility/elserenoRC.htm,(323) 225-3517,14,34.075723,-118.181788
Parks,Laurel and Hardy Park,3022,,,Del Monte,Dr,,,,,,,,"Los Angeles, CA 90027
(34.0825, -118.275)",CA,90027,,(310) 548-7675,13,34.082498,-118.274851
Parks,Circle Park (5th Ave.),,,,76th,St,,,,,5th,Ave,,"Los Angeles, CA 90043
(33.9709, -118.322)",CA,90043,,(310) 548-7675,8,33.970894,-118.322173
Parks,San Pedro Welcome Park,351,,N,Gaffey,St,,,,,,,,"Los Angeles, CA 90731
(33.7461, -118.293)",CA,90731,,(310) 548-7675,15,33.746055,-118.292652
Parks,Richard Alatorre Park,,,N,Figueroa,St,,,,,,,,"Los Angeles, CA 90041
(34.144, -118.184)",CA,90041,http://www.laparks.org/dos/parks/facility/richardAlatorrePk.htm,(323) 255-0370,14,34.143976,-118.184218
Parks,Highland Park,6150,,,Piedmont,Ave,,,,,,,,"Los Angeles, CA 90042
(34.1135, -118.188)",CA,90042,http://www.laparks.org/dos/reccenter/facility/highlandParkRC.htm,(213) 847-4876,1,34.113477,-118.187954
Parks,Tommy Lasorda's Field of Dreams,1901,,,Waterloo,St,,,,,,,,"Los Angeles, CA 90039
(34.0907, -118.26)",CA,90039,http://www.laparks.org/dos/reccenter/facility/silverLakeRC.htm,(310) 548-7675,13,34.090671,-118.259926
Parks,Silver Lake Meadows Park,2270,,,Silver Lake,Blvd,,,,,,,,"Los Angeles, CA 90039
(34.0986, -118.261)",CA,90039,,(310) 548-7675,13,34.098621,-118.261095
Parks,Downey Park,1772,,N,Spring,St,,,,,,,,"Los Angeles, CA 90031
(34.0712, -118.223)",CA,90031,http://www.laparks.org/dos/reccenter/facility/downeyRC.htm,(323) 225-7100,1,34.071162,-118.223432
Parks,Los Angeles Plaza Park,125,,,Paseo De La Plaza,,,,,,,,,"Los Angeles, CA 90012
(34.0569, -118.239)",CA,90012,http://www.laparks.org/dos/parks/facility/laPlazaPk.htm,(213) 628-1274,14,34.05692598,-118.2385958
Parks,Elysian Park,929,,,Academy,Rd,,,,,,,,"Los Angeles, CA 90012
(34.0794, -118.236)",CA,90012,http://www.laparks.org/dos/parks/facility/elysianPk.htm,(213) 485-5054,13,34.079411,-118.235668
Parks,Stoner Park,1835,,,Stoner,Ave,,,,,,,,"Los Angeles, CA 90025
(34.0384, -118.453)",CA,90025,http://www.laparks.org/dos/reccenter/facility/stonerRC.htm,(310) 479-7200,11,34.03844736,-118.4532902
Parks,Montecito Heights Park,4545,,,Homer,St,,,,,,,,"Los Angeles, CA 90031
(34.0955, -118.203)",CA,90031,http://www.laparks.org/dos/reccenter/facility/montecitoHeightsRC.htm,(213) 485-5148,1,34.095544,-118.20335
Parks,Los Angeles High Memorial Park,4625,,W,Olympic,Blvd,,,,,,,,"Los Angeles, CA 90019
(34.0566, -118.332)",CA,90019,http://www.laparks.org/dos/parks/facility/laHighMemorialPk.htm,(213) 485-5054,4,34.05657403,-118.3319039
