LocationType,Location_Name,StNumber,StNumberFraction,StDirection,StName,StSuffix,StSuffixDirection,AddressType,AddressTypeValue,CrossStDirection,CrossStName,CrossStSuffix,CrossStSuffixDirection,City,State,Zip,Website,Phone,CouncilDistrict,X,Y
Parks,Glassell Park,3650,,,Verdugo,Rd,,,,,,,,"Los Angeles, CA 90065
(34.1167, -118.233)",CA,90065,http://www.laparks.org/dos/parks/facility/glassellPk.htm,(323) 257-1863,1,34.11673874,-118.2331726
Parks,Echo Park,1632,,,Bellevue,Ave,,,,,,,,"Los Angeles, CA 90026
(34.0701, -118.261)",CA,90026,http://www.laparks.org/dos/reccenter/facility/echoParkRC.htm,(213) 250-3578,13,34.07012683,-118.2608082
Parks,Fred Roberts Park,4700,,S,Honduras,St,,,,,,,,"Los Angeles, CA 90011
(34.0009, -118.244)",CA,90011,http://www.laparks.org/dos/reccenter/facility/fredRobertsRC.htm,(323) 234-8650,9,34.00087496,-118.2439885
Parks,San Pasqual Park,934,,N,San Pasqual,Ave,,,,,,,,"Los Angeles, CA 90042
(34.1198, -118.17)",CA,90042,http://www.laparks.org/dos/parks/facility/sanPascualPk.htm,(323) 255-0370,14,34.11981,-118.17014
Parks,Lilac Terrace Park,835,,,Academy,Rd,,,,,,,,"Los Angeles, CA 90012
(34.0802, -118.249)",CA,90012,http://www.laparks.org/dos/parks/facility/lilacTerracePk.htm,(213) 847-0926,1,34.080151,-118.249395
Recreation Centers,Crestwood Hills Recreation Center,1000,,,Hanley,Ave,,,,,,,,"Los Angeles, CA 90049
(34.0766, -118.489)",CA,90049,http://www.laparks.org/dos/reccenter/facility/crestwoodHillsRC.htm,(310) 472-5233,11,34.07661042,-118.4889191
Parks,Wabash Park,2765,,,Wabash,Ave,,,,,,,,"Los Angeles, CA 90033
(34.0507, -118.198)",CA,90033,http://www.laparks.org/dos/reccenter/facility/wabashRC.htm,(213) 262-6534,14,34.05070789,-118.1981928
Recreation Centers,Yucca Park Community Center,6671,,,Yucca,St,,,,,,,,"Los Angeles, CA 90028
(34.1033, -118.336)",CA,90028,http://www.laparks.org/dos/reccenter/facility/yuccaCC.htm,(323) 957-6339,13,34.10331572,-118.3355345
Public Computer Centers,Eagle Rock Youth Center - Public Computer Center,1102,,,Eagle Vista,Dr,,,,,,,,"Los Angeles, CA 90041
(34.1436, -118.188)",CA,90041,http://www.laparks.org/btop/lynda.htm,(323) 341-5658,14,34.14363983,-118.1882212
Parks,Griffith Park - Pony & Train Rides,3300,,N,Riverside,Dr,,,,,,,,"Los Angeles, CA 90027
(34.1177, -118.272)",CA,90027,http://www.laparks.org/dos/parks/griffithPK/ponyrides.htm,(323) 664-3266,4,34.117654,-118.27198
Public Computer Centers,James Slauson Recreation Center - Public Computer Center,5306,,S,Compton,Ave,,,,,,,,"Los Angeles, CA 90011
(33.9946, -118.248)",CA,90011,http://www.laparks.org/btop/lynda.htm,(323) 233-1174,9,33.99462127,-118.2476422
Gardens,Solano Canyon Community Garden,835,,,Academy,Rd,,,,,,,,"Los Angeles, CA 90012
(34.0753, -118.232)",CA,90012,http://www.laparks.org/dos/parks/facility/elysianpk.htm,(323) 525-7411,1,34.075292,-118.231559
Recreation Centers,Denker Recreation Center,1550,,W,35th,Pl,,,,,,,,"Los Angeles, CA 90018
(34.0236, -118.305)",CA,90018,http://www.laparks.org/dos/reccenter/facility/denkerRC.htm,(323) 733-8367,8,34.02355276,-118.3045149
Outdoor Fitness Equipment,6th & Gladys Street Park,624,,E,6th,St,,,,,Gladys,St,,"Los Angeles, CA 90021
(34.0403, -118.242)",CA,90021,http://www.laparks.org/dos/parks/facility/6thgladysPk.htm,(818) 756-8189,14,34.04032,-118.242479
Outdoor Fitness Equipment,Westside Neighborhood Park,3085,,,Clyde,Ave,,,,,,,,"Los Angeles, CA 90016
(34.0291, -118.37)",CA,90016,http://www.laparks.org/dos/parks/facility/westsideNeighborhoodPk.htm,(323) 292-6622,10,34.029093,-118.36998
Swimming Pools - Year Round,Van Nuys Sherman Oaks Pool,14201,,,Huston,St,,,,,,,,"Los Angeles, CA 91423
(34.1595, -118.443)",CA,91423,http://www.laparks.org/dos/aquatic/facility/vanNuys_SOPool.htm,(818) 783-6721,4,34.15952933,-118.4425227
Public Computer Centers,Poinsettia Recreation Center - Public Computer Center,7341,,,Willoughy,Ave,,,,,,,,"Los Angeles, CA 90046
(34.0878, -118.35)",CA,90046,http://www.laparks.org/btop/lynda.htm,(323) 876-5014,5,34.087752,-118.350031
Free Wi-Fi Hot Spots,Griffith Observatory,2800,,E,Observatory,Rd,,,,,,,,"Los Angeles, CA 90027
(34.1184, -118.3)",CA,90027,http://griffithobservatory.org/,(213) 473-0800,4,34.118429,-118.300374
Parks,Sullivan Canyon Park,,,,Santa Monica Mountains,,,,,,,,,"Los Angeles, CA 90049
(34.0737, -118.509)",CA,90049,http://www.laparks.org/dos/parks/facility/sullivanCynPk.htm,(310) 840-2187,11,34.073715,-118.509023
Universally Accessible Playgrounds,Westchester Recreation Center,7000,,W,Manchester,Ave,,,,,,,,"Los Angeles, CA 90045
(33.9596, -118.414)",CA,90045,http://www.laparks.org/dos/reccenter/facility/westchesterRC.htm,(310) 670-7473,11,33.95956137,-118.4138213
Skate Parks,Lake Street Skate Park,227,,N,Lake,St,,,,,,,,"Los Angeles, CA 90026
(34.0687, -118.27)",CA,90026,http://www.laparks.org/dos/parks/skateparks/lakeStSkatePk.htm,(213) 207-2196,13,34.06874703,-118.270384
Outdoor Fitness Equipment,Seily Rodriguez Park,5707,,,Lexington,Ave,,,,,,,,"Los Angeles, CA 90038
(34.0929, -118.314)",CA,90038,http://www.laparks.org/dos/parks/facility/seilyRodriguezPk.htm,(213) 847-3601,13,34.092917,-118.313975
Parks,Victory - Vineland Park,11117,,,Victory,Blvd,,,,,,,,"Los Angeles, CA 91606
(34.1869, -118.373)",CA,91606,http://www.laparks.org/dos/parks/facility/victoryVinelandPk.htm,(818) 985-9516,2,34.186926,-118.3727
Parks,Pan Pacific Park,7600,,,Beverly,Blvd,,,,,,,,"Los Angeles, CA 90036
(34.0749, -118.355)",CA,90036,http://www.laparks.org/dos/parks/facility/panPacificPk.htm,(323) 939-8874,4,34.07487935,-118.3549473
Dog Parks,Runyon Canyon Dog Park,2000,,N,Fuller,Ave,,,,,,,,"Los Angeles, CA 90046
(34.1053, -118.349)",CA,90046,http://laparks.org/dos/parks/facility/dogparks/runyonCynDogPk.htm,(323) 666-5046,4,34.10530646,-118.3488732
Parks,76th Street Pocket Park,833,,W,76th,St,,,,,,,,"Los Angeles, CA 90044
(33.971, -118.288)",CA,90044,,(310) 548-7675,8,33.971023,-118.288267
Parks,El Sereno Arroyo Playground,5520,,,Concord,Ave,,,,,,,,"Los Angeles, CA 90032
(34.0798, -118.162)",CA,90032,,(323) 223-2764,14,34.07980496,-118.1618492
Recreation Centers,Montecito Heights Recreation Center,4545,,,Homer,St,,,,,,,,"Los Angeles, CA 90031
(34.0955, -118.203)",CA,90031,http://www.laparks.org/dos/reccenter/facility/montecitoHeightsRC.htm,(213) 485-5148,1,34.095544,-118.20335
Outdoor Fitness Equipment,Evergreen Recreation Center,2844,,E,2nd,St,,,,,,,,"Los Angeles, CA 90033
(34.039, -118.203)",CA,90033,http://www.laparks.org/dos/reccenter/facility/evergreenRC.htm,(323) 262-0397,14,34.038954,-118.203476
Parks,Bellaire Avenue Park,7960,,N,Bellaire,Ave,,,,,,,,"Los Angeles, CA 91605
(34.2156, -118.413)",CA,91605,,(818) 506-7456,2,34.21561,-118.412666
Parks,Evergreen Park,2844,,E,2nd,St,,,,,,,,"Los Angeles, CA 90033
(34.0391, -118.205)",CA,90033,http://www.laparks.org/dos/reccenter/facility/evergreenRC.htm,(323) 262-0397,14,34.03913003,-118.2045264
Skate Parks,Stoner Skate Park,1835,,,Stoner,Ave,,,,,,,,"Los Angeles, CA 90025
(34.0384, -118.453)",CA,90025,http://www.laparks.org/dos/parks/skateparks/stonerSkatePk.htm,(310) 479-7200,11,34.03844736,-118.4532902
Public Computer Centers,Jackie Tatum / Harvard Recreation Center - Public Computer Center,1535,,W,62nd,St,,,,,,,,"Los Angeles, CA 90047
(33.9386, -118.304)",CA,90047,http://www.laparks.org/btop/lynda.htm,(323) 778-2579,8,33.93857,-118.303829
Public Computer Centers,Martin Luther King Jr. Recreation Center - Public Computer Center,3916,,S,Western,Ave,,,,,,,,"Los Angeles, CA 90062
(34.0139, -118.309)",CA,90062,http://www.laparks.org/btop/lynda.htm,(213) 847-0878,8,34.01394464,-118.3087893
Swimming Pools - Summer,Pecan Pool,120,,S,Gless,St,,,,,,,,"Los Angeles, CA 90033
(34.0467, -118.223)",CA,90033,http://www.laparks.org/dos/aquatic/facility/pecanPool.htm,(323) 526-3042,14,34.04674613,-118.222927
Universally Accessible Playgrounds,Orthopaedic Hospital Universal Access Playground,2400,,,Flower,St,,,,,,,,"Los Angeles, CA 90007
(34.028, -118.274)",CA,90007,http://www.laparks.org/dos/playground/facility/orthoUAPk.htm,(310) 548-7675,9,34.027994,-118.273605
Parks,Westwood Park,1350,,S,Sepulveda,Blvd,,,,,,,,"Los Angeles, CA 90025
(34.0533, -118.448)",CA,90025,http://www.laparks.org/dos/reccenter/facility/westwoodRC.htm,(310) 473-3610,5,34.053257,-118.448297
Recreation Centers,Poinsettia Recreation Center,7341,,,Willoughy,Ave,,,,,,,,"Los Angeles, CA 90046
(34.0878, -118.35)",CA,90046,http://www.laparks.org/dos/reccenter/facility/poinsettiaRC.htm,(323) 876-5014,5,34.087752,-118.350031
Parks,Pan Pacific Park - Renee's Place,7600,,,Beverly,Blvd,,,,,,,,"Los Angeles, CA 90036
(34.0749, -118.355)",CA,90036,http://www.laparks.org/dos/playground/facility/panPacificUAPPk.htm,(323) 939-8874,4,34.07487935,-118.3549473
Golf Courses,Rancho Park 3-Par Golf Course,10460,,W,Pico,Blvd,,,,,,,,"Los Angeles, CA 90064
(34.0474, -118.415)",CA,90064,http://golf.lacity.org/cdp_rancho_p3.htm,(310) 838-7561,5,34.04737,-118.414689
Public Computer Centers,Evergreen Youth Center - Public Computer Center,211,,S,Evergreen,Ave,,,,,,,,"Los Angeles, CA 90033
(34.0388, -118.204)",CA,90033,http://www.laparks.org/btop/lynda.htm,(323) 263-2816,14,34.038819,-118.204026
Parks,De Neve Square Park,314,,,Beverly Glen,,,,,,,,,"Los Angeles, CA 90077
(34.0842, -118.435)",CA,90077,http://www.laparks.org/dos/parks/facility/deNeveSquPk.htm,(310) 840-2186,5,34.08425,-118.43496
Tennis Courts,Poinsettia Tennis Courts,7341,,,Willoughy,Ave,,,,,,,,"Los Angeles, CA 90046
(34.0883, -118.349)",CA,90046,http://www.laparks.org/dos/reccenter/facility/poinsettiaRC.htm,(323) 512-8234,5,34.088311,-118.348969
Parks,Mandeville Canyon Park,,,,Mandeville Fire,,,,,,Westridge,,,"Los Angeles, CA 90049
(34.0855, -118.509)",CA,90049,http://www.laparks.org/dos/parks/facility/mandevilleCanyonPk.htm,(310) 589-3200,11,34.085468,-118.509006
Parks,East Los Angeles Park,3160,,E,Minnesota,St,,,,,,,,"Los Angeles, CA 90031
(34.0771, -118.207)",CA,90031,http://www.laparks.org/dos/parks/facility/eastLAPk.htm,(323) 225-3329,1,34.07714,-118.20731
Recreation Centers,Imperial Courts Recreation Center,2250,,E,114th,St,,,,,,,,"Los Angeles, CA 90059
(33.9313, -118.232)",CA,90059,http://www.laparks.org/dos/reccenter/facility/imperialcourtsRC.htm,(323) 564-1834,15,33.93125654,-118.2324199
Parks,Bellevue Park,826,,,Lucille,Ave,,,,,,,,"Los Angeles, CA 90026
(34.084, -118.283)",CA,90026,http://www.laparks.org/dos/reccenter/facility/bellevueRC.htm,(323) 664-2468,13,34.084016,-118.283446
Parks,Glenhurst Park,2932,,,Glenhurst,Ave,,,,,,,,"Los Angeles, CA 90039
(34.1102, -118.253)",CA,90039,http://www.laparks.org/dos/parks/facility/glenhurstPk.htm,(213) 847-0926,13,34.110233,-118.252805
Recreation Centers,El Sereno Recreation Center,4721,,,Klamath,St,,,,,,,,"Los Angeles, CA 90032
(34.0757, -118.182)",CA,90032,http://www.laparks.org/dos/reccenter/facility/elSerenoRC.htm,(323) 225-3517,14,34.075694,-118.1815698
Theatre,Greek Theatre,2700,,N,Vermont,Ave,,,,,,,,"Los Angeles, CA 90027
(34.1197, -118.296)",CA,90027,http://www.laparks.org/dos/parks/griffithPK/greekthtr.htm,(323) 665-5857,4,34.119739,-118.296131
Parks,Robert F. Kennedy Inspiration Park,3400,,W,Wilshire,Blvd,,,,,,,,"Los Angeles, CA 90010
(34.0617, -118.298)",CA,90010,,(213) 485-5572,10,34.06173,-118.297572
Tennis Courts,Griffith Park - Riverside Tennis Courts,3401,,,Riverside,Dr,,,,,,,,"Los Angeles, CA 90027
(34.1163, -118.27)",CA,90027,http://www.laparks.org/dos/sports/tennis/facility/riversideTC.htm,(323) 661-5318,4,34.116327,-118.270274
Recreation Centers,Yosemite Recreation Center,1840,,,Yosemite,Dr,,,,,,,,"Los Angeles, CA 90041
(34.1334, -118.208)",CA,90041,http://www.laparks.org/dos/reccenter/facility/yosemiteRC.htm,(323) 257-1644,14,34.13344093,-118.2080976
Parks,Reynier Park,2803,,S,Reynier,Ave,,,,,,,,"Los Angeles, CA 90035
(34.0356, -118.386)",CA,90035,http://www.laparks.org/dos/parks/facility/reynierPk.htm,(310) 836-1040,10,34.03563676,-118.3861321
Skate Parks,Westchester Skate Park,7000,,W,Manchester,Ave,,,,,,,,"Los Angeles, CA 90045
(33.9591, -118.415)",CA,90045,http://www.laparks.org/dos/parks/skateparks/westchesterSkatePk.htm,(310) 670-7473,11,33.959143,-118.414785
Public Computer Centers,Green Meadows Recreation Center - Public Computer Center,431,,E,89th,St,,,,,,,,"Los Angeles, CA 90003
(33.9557, -118.267)",CA,90003,http://www.laparks.org/btop/lynda.htm,(323) 565-4242,9,33.95568832,-118.2672316
Parks,Lincoln Park,3501,,,Valley,Blvd,,,,,,,,"Los Angeles, CA 90031
(34.0656, -118.202)",CA,90031,http://www.laparks.org/dos/parks/facility/lincolnPk.htm,(213) 847-1726,1,34.06561417,-118.2018369
Parks,Barrington Park,333,,S,Barrington,Ave,,,,,,,,"Los Angeles, CA 90049
(34.0614, -118.469)",CA,90049,http://www.laparks.org/dos/reccenter/facility/barringtonRC.htm,(310) 476-4866,11,34.06137723,-118.4686951
Parks,Seoul International Park,3250,,,San Marino,St,,,,,,,,"Los Angeles, CA 90006
(34.0544, -118.302)",CA,90006,http://www.laparks.org/dos/parks/facility/seoulInterPk.htm,(213) 383-7549,10,34.05435479,-118.3016258
Swimming Pools - Summer,Sun Valley Park Pool,8123,,,Vineland,Ave,,,,,,,,"Los Angeles, CA 91352
(34.2182, -118.37)",CA,91352,http://www.laparks.org/dos/aquatic/facility/sunValleyPool.htm,(818) 252-0835,6,34.21815376,-118.3704284
Swimming Pools - Year Round,Westwood Pool,1350,,S,Sepulveda,Blvd,,,,,,,,"Los Angeles, CA 90025
(34.0533, -118.448)",CA,90025,http://www.laparks.org/dos/aquatic/facility/westwoodPool.htm,(310) 478-7019,5,34.053294,-118.448343
Recreation Centers,Jordan Downs Recreation Center,9900,,,Grape,St,,,,,,,,"Los Angeles, CA 90002
(33.9461, -118.237)",CA,90002,http://www.laparks.org/dos/reccenter/facility/jordanDownsRC.htm,(213) 485-1835,15,33.94612146,-118.2365773
Parks,Sunnynook River Park,3201,,,Riverside,Dr,,,,,,,,"Los Angeles, CA 90027
(34.1134, -118.268)",CA,90027,,,4,34.113439,-118.268482
Recreation Centers,Rose Hill Recreation Center,4530,,,Mercury,Ave,,,,,,,,"Los Angeles, CA 90032
(34.0858, -118.19)",CA,90032,http://www.laparks.org/dos/reccenter/facility/roseHillRC.htm,(323) 225-0450,14,34.08582337,-118.1898844
Public Computer Centers,Trinity Recreation Center - Public Computer Center,517,,,Trinity,St,,,,,,,,"Los Angeles, CA 90011
(34.0239, -118.263)",CA,90011,http://www.laparks.org/btop/lynda.htm,(213) 485-4195,9,34.023914,-118.262876
Golf Courses,Tregnan Golf Academy,4341,,,Griffith Park,Dr,,,,,,,,"Los Angeles, CA 90027
(34.1212, -118.275)",CA,90027,http://www.laparks.org/golf/tregnan.htm,(323) 906-3858,4,34.121156,-118.275261
Universally Accessible Playgrounds,South Park Recreation Center,345,,E,51st,St,,,,,,,,"Los Angeles, CA 90011
(33.9974, -118.268)",CA,90011,http://www.laparks.org/dos/reccenter/facility/southPkRC.htm,(213) 847-6746,9,33.997417,-118.267651
Skate Parks,Lincoln Park Skate Park,3501,,,Valley,Blvd,,,,,,,,"Los Angeles, CA 90031
(34.0656, -118.202)",CA,90031,http://www.laparks.org/dos/parks/skateparks/lincolnParkSkatePk.htm,(213) 847-1726,1,34.06561417,-118.2018369
Parks,Ramon D. Garcia Park,1016,,S,Fresno,St,,,,,,,,"Los Angeles, CA 90023
(34.0276, -118.206)",CA,90023,http://www.laparks.org/dos/reccenter/facility/ramonGarciaRC.htm,(323) 265-4755,14,34.027589,-118.206397
Senior Centers,Fairfax Senior Citizen Center,7929,,,Melrose,Ave,,,,,,,,"Los Angeles, CA 90046
(34.084, -118.362)",CA,90046,http://www.laparks.org/dos/senior/facility/fairfaxSCC.htm,(323) 653-1824,5,34.084022,-118.362491
Public Computer Centers,Vineyard Recreation Center - Public Computer Center,2942,,,Vineyard,Ave,,,,,,,,"Los Angeles, CA 90016
(34.0283, -118.347)",CA,90016,http://www.laparks.org/btop/lynda.htm,(323) 732-2469,10,34.02828057,-118.34653
Recreation Centers,Westwood Recreation Complex,1350,,S,Sepulveda,Blvd,,,,,,,,"Los Angeles, CA 90025
(34.0535, -118.448)",CA,90025,http://www.laparks.org/dos/reccenter/facility/westwoodRC.htm,(310) 473-3610,5,34.053472,-118.44793
Parks,Yucca Park,6671,,,Yucca,St,,,,,,,,"Los Angeles, CA 90028
(34.1033, -118.336)",CA,90028,http://www.laparks.org/dos/parks/facility/yuccaPk.htm,(323) 957-6339,13,34.10331572,-118.3355345
Parks,Crestwood Hills Park,1000,,,Hanley,Ave,,,,,,,,"Los Angeles, CA 90049
(34.0766, -118.489)",CA,90049,http://www.laparks.org/dos/reccenter/facility/crestwoodHillsRC.htm,(310) 472-5233,11,34.07661042,-118.4889191
Public Computer Centers,Felicia Mahood Senior Multipurpose Center - Public Computer Center,11338,,,Santa Monica,Blvd,,,,,,,,"Los Angeles, CA 90025
(34.0456, -118.45)",CA,90025,http://www.laparks.org/btop/lynda.htm,(310) 479-4119,11,34.045637,-118.449914
Recreation Centers,Queen Anne Recreation Center,1240,,,West,Blvd,,,,,,,,"Los Angeles, CA 90019
(34.0504, -118.333)",CA,90019,http://www.laparks.org/dos/reccenter/facility/queenAnneRC.htm,(323) 857-1180,10,34.05036819,-118.3329434
Recreation Centers,Metro/Pacific Municipal Sports,3900,,W,Chevy Chase,Dr,,,,,,,,"Los Angeles, CA 90039
(34.1333, -118.273)",CA,90039,http://www.laparks.org/dos/sports/sports.htm,(818) 246-5613,13,34.13325553,-118.2728568
Parks,Holmby Park,601,,,Club View,Dr,,,,,,,,"Los Angeles, CA 90024
(34.0729, -118.429)",CA,90024,http://www.golf.lacity.org/cdp_holmby.htm,(310) 276-1604,5,34.07294331,-118.4293956
Recreation Centers,Shatto Recreation Center,3191,,W,4th,St,,,,,,,,"Los Angeles, CA 90020
(34.0674, -118.289)",CA,90020,http://www.laparks.org/dos/reccenter/facility/shattoRC.htm,(213) 386-8877,13,34.067447,-118.289338
Parks,Griffith Park - Bronson Canyon,3200,,,Canyon,Dr,,,,,,,,"Los Angeles, CA 90068
(34.1272, -118.311)",CA,90068,http://www.laparks.org/dos/parks/facility/bronsonCanyonGP.htm,(323) 913-4688,4,34.127171,-118.31077
Parks,Hazard Park,2230,,,Norfolk,St,,,,,,,,"Los Angeles, CA 90033
(34.0607, -118.201)",CA,90033,http://www.laparks.org/dos/parks/facility/hazardPk.htm,(213) 485-6839,14,34.06067723,-118.2008547
Public Computer Centers,Ramona Gardens Recreation Center - Public Computer Center,2830,,,Lancaster,Ave,,,,,,,,"Los Angeles, CA 90033
(34.057, -118.195)",CA,90033,http://www.laparks.org/btop/lynda.htm,(213) 847-2961,14,34.056954,-118.194894
Camps,Griffith Park Boys Camp,4730,,,Crystal Springs,Dr,,,,,,,,"Los Angeles, CA 90027
(34.139, -118.298)",CA,90027,http://www.laparks.org/dos/camps/griffith.htm,(323) 664-0571,4,34.139017,-118.298335
Parks,Greayer's Oak Mini Park,3711,,N,Figueroa,St,,,,,,,,"Los Angeles, CA 90065
(34.0902, -118.212)",CA,90065,http://www.laparks.org/dos/parks/facility/graeyorsOakPk.htm,(323) 255-0370,1,34.09023935,-118.2124151
Parks,Briarwood Park,461,,,Almaden,Ct,,,,,,,,"Los Angeles, CA 90077
(34.119, -118.444)",CA,90077,http://www.laparks.org/dos/parks/facility/briarwoodPk.htm,(310) 840-2186,5,34.119035,-118.443947
Tennis Courts,Sycamore Grove Tennis Courts,4702,,N,Figueroa,St,,,,,,,,"Los Angeles, CA 90042
(34.1015, -118.201)",CA,90042,http://www.laparks.org/dos/parks/facility/sycamorePk.htm,(323) 255-0370,1,34.101465,-118.201347
